Feeding schedule found with 12 entries.[2024-09-14 20:16:49] Feeding schedule found with 12 entries.
[2024-09-14 20:19:29] Feeding schedule found with 12 entries.
[2024-09-14 20:33:01] Feeding schedule found with 12 entries.
[2024-09-14 20:34:01] Feeding schedule found with 12 entries.
[2024-09-23 04:17:00] ERROR: No motor calibration data found.
[2024-09-23 04:17:07] ERROR: No motor calibration data found.
[2024-09-23 04:20:42] ERROR: No motor calibration data found.
[2024-09-23 04:37:56] INFO: Motor control request (on) sent successfully.
[2024-09-23 04:38:00] INFO: Motor control request (off) sent successfully.
[2024-09-23 05:01:40] INFO: Motor control request (on) sent successfully.
[2024-09-23 05:01:44] INFO: Motor control request (off) sent successfully.
[2024-09-23 05:06:03] INFO: Motor control request (on) sent successfully.
[2024-09-23 05:06:07] INFO: Motor control request (off) sent successfully.
[2024-09-23 05:08:01] INFO: Motor control request (on) sent successfully.
[2024-09-23 05:08:05] INFO: Motor control request (off) sent successfully.
[2024-09-23 06:09:02] INFO: Motor control request (on) sent successfully.
[2024-09-23 06:09:06] INFO: Motor control request (off) sent successfully.
[2024-09-23 06:13:03] INFO: Motor control request (on) sent successfully.
[2024-09-23 06:13:07] INFO: Motor control request (off) sent successfully.
[2024-09-23 06:14:02] INFO: Motor control request (on) sent successfully.
[2024-09-23 06:14:07] INFO: Motor control request (off) sent successfully.
[2024-09-23 19:12:01] INFO: Motor control request (on) sent successfully.
[2024-09-23 19:12:06] INFO: Motor control request (off) sent successfully.
[2024-09-23 19:15:01] INFO: Motor control request (on) sent successfully.
[2024-09-23 19:15:07] INFO: Motor control request (off) sent successfully.
[2024-09-23 19:16:01] INFO: Motor control request (on) sent successfully.
[2024-09-23 19:16:06] INFO: Motor control request (off) sent successfully.
[2024-09-24 12:41:02] INFO: Motor control request (on) sent successfully.
[2024-09-24 12:41:07] INFO: Motor control request (off) sent successfully.
[2024-09-24 12:46:02] INFO: Motor control request (on) sent successfully.
[2024-09-24 12:46:07] INFO: Motor control request (off) sent successfully.
[2024-09-25 08:58:01] INFO: Motor control request (on) sent successfully.
[2024-09-25 08:58:06] INFO: Motor control request (off) sent successfully.
[2024-09-25 08:58:10] INFO: Motor control request (on) sent successfully.
[2024-09-25 08:58:15] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:10:02] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:10:05] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:10:07] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:10:10] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:10:11] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:10:14] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:10:15] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:10:18] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:10:20] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:10:23] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:11:01] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:11:04] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:11:06] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:11:09] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:11:10] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:11:13] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:11:15] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:11:18] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:11:19] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:11:22] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:13:01] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:13:04] INFO: Motor control request (off) sent successfully.
[2024-10-02 18:13:05] INFO: Motor control request (on) sent successfully.
[2024-10-02 18:13:08] INFO: Motor control request (off) sent successfully.
[2024-10-21 13:21:02] INFO: Motor control request (on) sent successfully.
[2024-10-21 13:21:05] INFO: Motor control request (off) sent successfully.
[2024-10-21 13:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-21 13:59:04] INFO: Motor control request (off) sent successfully.
[2024-10-21 14:00:02] INFO: Motor control request (on) sent successfully.
[2024-10-21 14:00:05] INFO: Motor control request (off) sent successfully.
[2024-10-21 15:59:02] INFO: Motor control request (on) sent successfully.
[2024-10-21 15:59:07] INFO: Motor control request (off) sent successfully.
[2024-10-21 16:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-21 16:00:06] INFO: Motor control request (off) sent successfully.
[2024-10-21 17:59:02] INFO: Motor control request (on) sent successfully.
[2024-10-21 17:59:07] INFO: Motor control request (off) sent successfully.
[2024-10-21 18:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-21 18:00:06] INFO: Motor control request (off) sent successfully.
[2024-10-22 05:59:02] INFO: Motor control request (on) sent successfully.
[2024-10-22 05:59:07] INFO: Motor control request (off) sent successfully.
[2024-10-22 06:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-22 06:00:06] INFO: Motor control request (off) sent successfully.
[2024-10-22 07:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-22 07:59:05] INFO: Motor control request (off) sent successfully.
[2024-10-22 08:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-22 08:00:05] INFO: Motor control request (off) sent successfully.
[2024-10-22 08:22:02] INFO: Motor control request (on) sent successfully.
[2024-10-22 08:22:03] INFO: Motor control request (off) sent successfully.
[2024-10-22 09:59:02] INFO: Motor control request (on) sent successfully.
[2024-10-22 09:59:06] INFO: Motor control request (off) sent successfully.
[2024-10-22 10:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-22 10:00:05] INFO: Motor control request (off) sent successfully.
[2024-10-22 11:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-22 11:59:05] INFO: Motor control request (off) sent successfully.
[2024-10-22 12:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-22 12:00:05] INFO: Motor control request (off) sent successfully.
[2024-10-22 15:59:02] INFO: Motor control request (on) sent successfully.
[2024-10-22 15:59:06] INFO: Motor control request (off) sent successfully.
[2024-10-22 16:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-22 16:00:05] INFO: Motor control request (off) sent successfully.
[2024-10-23 05:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-23 05:59:05] INFO: Motor control request (off) sent successfully.
[2024-10-23 06:00:02] INFO: Motor control request (on) sent successfully.
[2024-10-23 06:00:06] INFO: Motor control request (off) sent successfully.
[2024-10-23 11:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-23 11:59:05] INFO: Motor control request (off) sent successfully.
[2024-10-23 12:00:02] INFO: Motor control request (on) sent successfully.
[2024-10-23 12:00:07] INFO: Motor control request (off) sent successfully.
[2024-10-23 15:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-23 15:59:05] INFO: Motor control request (off) sent successfully.
[2024-10-23 16:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-23 16:00:05] INFO: Motor control request (off) sent successfully.
[2024-10-24 05:59:02] INFO: Motor control request (on) sent successfully.
[2024-10-24 05:59:08] INFO: Motor control request (off) sent successfully.
[2024-10-24 06:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-24 06:00:07] INFO: Motor control request (off) sent successfully.
[2024-10-24 11:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-24 11:59:07] INFO: Motor control request (off) sent successfully.
[2024-10-24 12:00:02] INFO: Motor control request (on) sent successfully.
[2024-10-24 12:00:08] INFO: Motor control request (off) sent successfully.
[2024-10-24 15:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-24 15:59:07] INFO: Motor control request (off) sent successfully.
[2024-10-24 16:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-24 16:00:07] INFO: Motor control request (off) sent successfully.
[2024-10-25 05:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-25 05:59:07] INFO: Motor control request (off) sent successfully.
[2024-10-25 06:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-25 06:00:07] INFO: Motor control request (off) sent successfully.
[2024-10-25 11:59:02] INFO: Motor control request (on) sent successfully.
[2024-10-25 11:59:12] INFO: Motor control request (off) sent successfully.
[2024-10-25 12:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-25 12:00:11] INFO: Motor control request (off) sent successfully.
[2024-10-25 15:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-25 15:59:11] INFO: Motor control request (off) sent successfully.
[2024-10-25 16:00:02] INFO: Motor control request (on) sent successfully.
[2024-10-25 16:00:12] INFO: Motor control request (off) sent successfully.
[2024-10-26 05:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-26 05:59:11] INFO: Motor control request (off) sent successfully.
[2024-10-26 06:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-26 06:00:11] INFO: Motor control request (off) sent successfully.
[2024-10-26 11:59:02] INFO: Motor control request (on) sent successfully.
[2024-10-26 11:59:12] INFO: Motor control request (off) sent successfully.
[2024-10-26 12:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-26 12:00:11] INFO: Motor control request (off) sent successfully.
[2024-10-26 15:59:02] INFO: Motor control request (on) sent successfully.
[2024-10-26 15:59:08] INFO: Motor control request (off) sent successfully.
[2024-10-26 16:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-26 16:00:07] INFO: Motor control request (off) sent successfully.
[2024-10-27 05:59:02] INFO: Motor control request (on) sent successfully.
[2024-10-27 05:59:05] INFO: Motor control request (off) sent successfully.
[2024-10-27 06:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-27 06:00:04] INFO: Motor control request (off) sent successfully.
[2024-10-27 11:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-27 11:59:04] INFO: Motor control request (off) sent successfully.
[2024-10-27 12:00:01] INFO: Motor control request (on) sent successfully.
[2024-10-27 12:00:04] INFO: Motor control request (off) sent successfully.
[2024-10-27 15:59:02] INFO: Motor control request (on) sent successfully.
[2024-10-27 15:59:12] INFO: Motor control request (off) sent successfully.
[2024-10-28 05:59:01] INFO: Motor control request (on) sent successfully.
[2024-10-28 05:59:11] INFO: Motor control request (off) sent successfully.
[2024-10-28 11:59:07] ERROR: Failed to send motor control request (on): Could not resolve host: esp32feeder.local
[2024-10-28 11:59:23] ERROR: Failed to send motor control request (off): Could not resolve host: esp32feeder.local
[2024-10-29 05:59:07] ERROR: Failed to send motor control request (on): Could not resolve host: esp32feeder.local
[2024-10-29 05:59:22] ERROR: Failed to send motor control request (off): Could not resolve host: esp32feeder.local
[2024-10-29 11:59:07] ERROR: Failed to send motor control request (on): Could not resolve host: esp32feeder.local
[2024-10-29 11:59:22] ERROR: Failed to send motor control request (off): Could not resolve host: esp32feeder.local
[2024-10-29 12:42:06] ERROR: Failed to send motor control request (on): Could not resolve host: esp32feeder.local
[2024-10-29 12:42:22] ERROR: Failed to send motor control request (off): Could not resolve host: esp32feeder.local
